time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.10,1,-0.949,0.223,-1.246,2.006,7.607,0.994,-7.650,-24.000,-47.100
0.21,1,-0.941,0.326,-0.984,1.963,7.670,0.918,-6.300,-27.000,-46.200
0.31,1,-0.904,0.380,-0.732,1.959,7.615,0.924,-6.750,-26.550,-44.700
0.41,1,-0.826,0.290,-0.659,1.969,7.715,0.912,-5.550,-26.100,-48.000
0.51,1,-0.730,0.127,-0.772,1.910,7.740,0.955,-6.600,-26.700,-46.800
0.62,1,-0.640,0.066,-0.859,1.879,7.680,1.061,-6.300,-27.300,-45.900
0.72,1,-0.668,0.393,-0.777,1.973,7.660,1.002,-5.700,-25.950,-46.800
0.83,1,-0.741,0.535,-0.790,1.939,7.639,0.951,-6.300,-27.000,-46.950
0.95,1,-0.768,0.519,-0.934,1.887,7.645,0.891,-4.950,-28.350,-47.550
1.04,1,-0.642,0.563,-1.037,2.002,7.689,0.855,-7.350,-26.400,-46.350
1.14,1,-0.471,0.619,-1.020,2.006,7.650,0.990,-5.550,-28.500,-45.900
1.25,1,-0.406,0.578,-1.021,1.986,7.682,1.020,-6.900,-26.700,-44.550
1.36,1,-0.468,0.516,-1.048,1.971,7.723,0.904,-6.900,-26.400,-45.300
1.46,1,-0.517,0.510,-1.088,1.945,7.697,0.846,-6.300,-27.750,-45.450
1.56,1,-0.561,0.532,-1.110,1.904,7.668,0.836,-7.050,-28.050,-46.200
1.67,1,-0.522,0.635,-1.089,1.932,7.701,0.924,-6.300,-28.500,-45.900
1.77,1,-0.540,0.671,-1.136,1.922,7.779,0.898,-7.350,-27.900,-45.600
1.89,1,-0.570,0.700,-1.139,1.914,7.656,0.879,-6.600,-27.900,-46.800
1.99,1,-0.608,0.698,-1.108,1.936,7.707,0.947,-4.050,-27.000,-45.450
2.09,1,-0.625,0.650,-1.101,1.898,7.666,0.912,-6.600,-27.450,-46.350
2.20,1,-0.650,0.596,-1.187,1.887,7.760,1.012,-5.550,-25.350,-46.200
2.30,1,-0.701,0.577,-1.285,1.854,7.660,0.953,-6.300,-26.550,-45.450
2.41,1,-0.730,0.864,-1.333,1.945,7.656,0.828,-6.150,-25.500,-47.550
