time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.11,1,-0.041,0.188,0.058,2.584,7.299,-31.999,-27.927,-38.062,-20.056
0.21,1,0.000,0.213,0.045,2.568,7.252,-31.999,-29.127,-38.062,-21.556
0.33,1,0.073,0.146,0.107,2.582,7.328,-31.999,-29.577,-37.612,-21.856
0.43,1,0.094,0.161,0.131,2.631,7.332,-31.999,-27.327,-38.662,-21.856
0.53,1,0.033,0.121,0.083,2.523,7.213,-31.999,-28.077,-39.562,-22.456
0.63,1,0.010,-0.037,0.104,2.531,7.305,-31.999,-28.677,-38.062,-21.556
0.73,1,0.017,-0.083,0.104,2.502,7.320,-31.999,-27.327,-38.662,-20.356
0.83,1,0.006,-0.141,0.106,2.477,7.314,-31.999,-28.227,-39.712,-21.256
0.95,1,0.047,-0.077,0.152,2.582,7.281,-31.999,-27.477,-39.712,-21.256
1.05,1,0.131,0.067,0.175,2.523,7.299,-31.999,-27.777,-39.562,-21.106
1.15,1,0.189,0.180,0.231,2.562,7.281,-31.999,-26.727,-40.162,-20.506
1.25,1,0.207,0.236,0.279,2.596,7.361,-31.999,-27.327,-39.112,-20.356
1.37,1,0.184,0.233,0.265,2.564,7.314,-31.999,-28.077,-37.912,-20.356
1.47,1,0.139,0.255,0.205,2.582,7.373,-31.999,-28.677,-38.962,-19.756
1.57,1,0.138,0.356,0.167,2.551,7.307,-31.999,-27.927,-39.262,-22.006
1.67,1,0.122,0.480,0.141,2.543,7.301,-31.999,-28.827,-38.362,-22.906
1.77,1,0.130,0.553,0.091,2.549,7.318,-31.999,-28.677,-39.262,-21.556
1.89,1,0.194,0.670,0.055,2.600,7.277,-31.999,-27.927,-37.762,-20.806
1.99,1,0.269,0.867,0.044,2.510,7.275,-31.999,-26.577,-39.562,-19.906
2.09,1,0.256,2.089,-0.203,2.346,7.461,-31.999,-28.527,-39.562,-21.406
2.20,1,-0.083,4.487,-0.679,2.520,7.260,-31.999,-29.127,-38.512,-20.056
2.30,1,-0.999,5.536,-0.119,2.652,7.301,-31.999,-28.227,-37.762,-22.006
2.39,1,-2.117,6.956,-0.120,2.477,7.295,-31.999,-29.127,-36.112,-24.256
2.50,1,-3.576,8.619,-0.414,2.385,7.260,-31.999,-27.927,-36.562,-23.056
2.61,1,-5.099,10.454,-0.235,2.500,7.082,-31.999,-28.227,-33.862,-25.006
