time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.13,1,-0.052,0.001,-1.476,1.959,7.691,0.994,-8.250,-26.100,-44.700
0.22,1,0.071,-0.291,-1.746,1.879,7.744,0.867,-8.100,-26.700,-44.550
0.31,1,0.137,-0.208,-1.954,1.926,7.717,1.004,-8.100,-25.950,-45.600
0.44,1,0.229,0.133,-2.105,2.023,7.670,0.969,-9.150,-25.500,-43.050
0.52,1,0.235,0.431,-2.238,2.205,7.719,0.959,-6.750,-27.750,-45.150
0.63,1,0.155,0.323,-2.339,2.148,7.664,0.900,-8.100,-26.700,-44.550
0.75,1,0.103,0.049,-2.428,1.969,7.615,0.881,-8.250,-27.300,-43.650
0.85,1,0.094,-0.145,-2.406,1.980,7.525,0.930,-7.350,-25.950,-45.300
0.95,1,0.075,-0.051,-2.228,1.937,7.566,0.955,-9.150,-27.150,-44.250
1.05,1,0.085,0.363,-2.011,2.000,7.752,0.777,-8.100,-27.150,-44.550
1.17,1,0.268,0.633,-1.848,2.020,7.629,0.867,-7.800,-26.550,-45.150
1.26,1,0.431,0.678,-1.702,1.988,7.670,0.930,-6.750,-27.750,-45.450
1.38,1,0.444,0.706,-1.473,1.906,7.781,0.996,-7.050,-26.550,-44.700
1.48,1,0.332,0.752,-1.557,1.889,7.639,0.980,-7.050,-28.500,-45.150
1.58,1,0.185,0.752,-1.849,1.980,7.723,0.791,-7.800,-27.300,-45.900
1.68,1,0.188,0.685,-1.951,2.021,7.848,0.896,-6.300,-25.800,-45.450
1.79,1,0.149,0.570,-2.184,2.045,7.613,0.883,-7.350,-25.950,-46.050
1.90,1,0.163,0.367,-2.355,1.965,7.600,0.885,-8.250,-26.550,-42.900
1.99,1,0.161,0.339,-2.393,2.064,7.750,0.926,-6.900,-26.700,-44.550
2.10,1,0.104,0.356,-2.496,2.039,7.639,1.025,-8.400,-26.400,-45.300
2.21,1,-0.003,0.470,-2.558,2.135,7.646,0.939,-7.650,-28.350,-45.600
2.31,1,-0.148,0.390,-2.585,1.939,7.611,0.975,-6.750,-25.050,-44.400
2.41,1,-0.292,0.345,-2.602,1.875,7.613,0.951,-7.650,-26.700,-44.550
2.52,1,-0.387,0.415,-2.676,1.920,7.615,1.000,-7.350,-25.500,-44.850
2.62,1,-0.461,0.483,-2.828,1.984,7.654,1.035,-9.150,-24.750,-43.800
2.73,1,-0.507,0.467,-3.228,2.057,7.631,0.912,-8.250,-25.350,-45.900
2.84,1,-0.517,0.473,-3.343,2.004,7.688,1.057,-8.550,-27.750,-44.400
2.93,1,-0.619,0.548,-3.408,1.986,7.686,1.051,-6.900,-25.950,-46.050
3.04,1,-0.769,0.674,-3.445,1.979,7.648,1.055,-6.900,-25.200,-44.850
3.14,1,-0.913,0.686,-3.674,1.941,7.717,1.189,-7.650,-26.700,-46.350
3.24,1,-1.364,0.716,-3.814,1.951,7.814,1.441,-8.100,-25.950,-44.850
3.36,1,-2.601,0.744,-4.330,1.619,7.729,2.197,-7.050,-26.100,-45.900
3.45,1,-5.151,1.187,-5.962,1.934,7.873,2.391,-6.150,-24.450,-48.300
3.56,1,-9.001,1.773,-7.485,1.990,7.898,2.699,-8.250,-24.150,-49.950
3.67,1,-13.743,2.416,-8.134,2.100,7.730,2.965,-5.700,-23.250,-51.900
3.77,1,-18.877,2.845,-8.642,1.646,7.412,3.408,-5.400,-19.350,-57.150
3.87,1,-24.103,2.620,-9.923,1.672,6.969,3.959,-6.150,-16.950,-60.150
3.99,1,-29.208,2.490,-10.758,1.736,6.586,4.729,-6.600,-15.000,-63.450
4.08,1,-34.537,3.221,-10.721,1.393,6.203,5.049,-3.300,-12.450,-65.400
4.19,1,-39.728,4.238,-10.579,1.344,5.715,5.629,-1.800,-6.600,-69.600
4.29,1,-44.935,5.319,-10.406,0.973,5.232,6.375,-0.150,-4.050,-71.550
4.40,1,-50.209,6.185,-10.695,0.691,4.686,6.703,0.900,-0.150,-73.050
4.50,1,-55.388,5.985,-11.511,0.707,4.023,6.848,1.800,1.500,-75.450
4.61,1,-60.050,5.167,-12.232,0.658,3.268,6.893,0.750,8.550,-76.650
4.73,1,-64.002,4.655,-12.728,0.619,2.793,7.305,3.000,10.500,-76.950
4.82,1,-67.570,4.662,-13.021,0.340,2.328,7.432,2.400,13.800,-78.300
4.92,1,-70.895,4.803,-13.223,0.084,1.826,7.742,3.900,16.950,-77.850
5.04,1,-74.001,4.621,-13.455,0.109,1.449,7.807,3.900,19.650,-79.050
5.14,1,-76.984,4.079,-13.589,0.158,0.891,8.002,4.050,22.650,-78.450
5.24,1,-79.887,3.707,-13.804,0.143,0.721,8.244,3.450,25.950,-76.050
5.35,1,-83.115,4.163,-14.212,-0.285,0.344,8.508,4.650,27.150,-79.050
5.45,1,-86.883,4.103,-14.420,-0.438,-0.131,8.316,8.400,31.500,-75.300
5.56,1,-91.096,4.155,-14.901,-0.607,-0.564,8.291,7.800,35.550,-76.950
5.66,1,-95.319,3.144,-15.517,-0.594,-1.291,7.582,7.650,37.650,-76.350
5.77,1,-98.945,2.242,-16.229,-0.389,-2.049,7.258,8.850,42.000,-74.100
5.88,1,-102.006,1.366,-16.657,-0.297,-2.424,7.197,7.500,44.550,-71.400
5.98,1,-104.271,0.462,-16.968,-0.248,-2.816,7.191,7.800,48.000,-71.700
6.08,1,-106.258,0.326,-17.324,-0.275,-3.195,7.125,8.400,49.800,-70.050
6.18,1,-107.705,-0.357,-17.178,-0.357,-3.316,7.447,7.650,49.500,-70.500
6.29,1,-109.193,-1.010,-16.940,-0.453,-3.555,7.500,7.500,51.150,-69.150
6.40,1,-110.788,-1.349,-16.962,-0.393,-3.645,7.332,8.250,53.100,-66.900
6.48,1,-112.412,-1.747,-16.518,-0.342,-3.914,6.830,6.300,53.550,-67.350
6.59,1,-113.763,-1.787,-16.030,-0.500,-3.969,6.893,8.850,54.600,-65.700
6.72,1,-114.997,-1.831,-15.636,-0.629,-4.104,6.813,7.500,57.000,-65.400
6.81,1,-116.021,-2.270,-15.009,-0.451,-4.270,6.660,7.350,55.350,-64.950
6.91,1,-116.875,-2.367,-14.671,-0.590,-4.479,6.609,6.750,59.850,-63.300
7.01,1,-117.405,-2.555,-14.281,-0.666,-4.492,6.770,8.100,58.500,-62.250
7.14,1,-117.849,-2.668,-13.940,-0.680,-4.545,6.580,6.600,59.550,-63.450
7.22,1,-118.111,-2.994,-13.454,-0.555,-4.578,6.527,8.400,59.250,-61.650
7.33,1,-118.358,-2.835,-13.243,-0.723,-4.457,6.904,7.500,59.100,-62.550
7.43,1,-118.936,-2.444,-13.126,-0.850,-4.611,6.531,8.100,59.250,-61.950
7.53,1,-119.220,-2.721,-12.657,-0.580,-4.771,6.303,8.550,59.850,-62.550
7.64,1,-119.172,-2.662,-12.650,-0.721,-4.678,6.559,10.350,60.750,-63.000
7.75,1,-119.197,-2.391,-12.630,-0.721,-4.773,6.420,7.800,60.600,-61.350
7.85,1,-119.386,-2.114,-12.458,-0.666,-4.664,6.486,9.150,60.450,-60.450
7.95,1,-119.453,-1.539,-12.605,-0.926,-4.705,6.660,9.600,60.000,-61.650
8.07,1,-119.487,-1.513,-12.201,-1.049,-4.682,6.604,10.350,60.450,-61.950
8.17,1,-119.440,-1.827,-11.694,-0.979,-4.686,6.666,9.750,59.850,-60.300
8.26,1,-119.472,-1.942,-11.359,-0.848,-4.744,6.613,8.850,60.450,-61.950
8.37,1,-119.533,-1.911,-11.040,-0.803,-4.732,6.475,9.600,59.550,-61.650
8.47,1,-119.545,-1.806,-10.699,-0.889,-4.740,6.584,10.050,60.600,-61.800
8.58,1,-119.459,-1.917,-10.235,-0.838,-4.646,6.545,11.850,58.800,-62.250
