time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.13,1,-0.307,0.660,-0.249,1.635,7.699,1.289,-5.700,-26.700,-46.350
0.22,1,-0.277,0.639,-0.289,1.596,7.719,1.291,-6.000,-27.000,-46.650
0.32,1,-0.242,0.647,-0.288,1.639,7.758,1.174,-6.900,-27.450,-46.350
0.44,1,-0.191,0.593,-0.310,1.598,7.656,1.213,-6.300,-26.550,-46.950
0.54,1,-0.143,0.628,-0.300,1.629,7.732,1.271,-6.000,-27.000,-47.700
0.62,1,-0.081,0.608,-0.320,1.633,7.715,1.227,-6.150,-27.450,-45.300
0.74,1,0.019,0.549,-0.345,1.627,7.832,1.195,-5.550,-28.500,-46.200
0.85,1,0.281,0.362,-0.418,1.693,7.686,1.230,-5.700,-26.400,-46.350
0.94,1,0.500,0.153,-0.440,1.680,7.758,1.090,-5.550,-27.750,-44.700
1.06,1,0.652,-0.035,-0.530,1.732,7.752,1.127,-7.500,-27.000,-45.900
1.16,1,0.796,-0.355,-0.587,1.766,7.719,1.043,-7.050,-27.300,-45.450
1.25,1,0.909,-0.544,-0.577,1.748,7.689,1.100,-5.550,-26.100,-46.650
1.38,1,0.956,-0.649,-0.561,1.793,7.699,1.043,-7.350,-26.400,-46.050
1.48,1,0.974,-0.619,-0.522,1.689,7.730,1.066,-5.550,-26.100,-48.000
1.58,1,1.026,-0.565,-0.575,1.773,7.764,1.021,-6.300,-26.100,-46.200
1.68,1,1.040,-0.461,-0.596,1.779,7.754,1.145,-7.800,-26.550,-47.400
1.78,1,0.968,-0.282,-0.421,1.848,7.779,1.176,-6.900,-27.150,-46.800
1.89,1,0.640,-0.250,-0.407,1.758,7.822,1.129,-8.100,-28.650,-45.300
1.99,1,0.259,-0.309,-0.572,1.762,7.730,1.020,-7.350,-26.700,-46.050
2.09,1,-0.101,-0.318,-0.523,1.615,7.691,1.404,-5.700,-26.700,-45.300
2.21,1,-0.778,0.092,-0.225,1.703,7.748,1.459,-7.050,-26.100,-47.400
2.31,1,-1.762,0.483,-0.232,1.648,7.834,2.002,-5.550,-28.050,-49.200
2.41,1,-3.703,0.716,-0.587,1.578,7.977,2.432,-5.700,-25.950,-49.350
2.51,1,-6.767,1.251,-0.437,1.764,7.859,2.633,-4.200,-24.750,-50.400
2.62,1,-10.762,1.917,-0.394,1.523,7.750,3.240,-5.550,-23.400,-52.950
2.72,1,-15.562,2.206,-0.939,1.354,7.580,3.416,-4.050,-21.900,-57.750
