time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.12,0,0.471,0.145,0.032,-0.199,-8.174,-0.068,15.516,49.322,-9.285
0.22,0,0.493,0.162,0.156,-0.211,-8.182,-0.051,14.166,50.522,-9.285
0.32,0,0.531,0.144,0.246,-0.133,-8.162,-0.127,15.516,49.772,-9.735
0.43,0,0.528,0.134,0.165,-0.275,-8.117,-0.061,15.066,51.272,-9.735
0.54,0,0.503,0.149,0.083,-0.258,-8.092,-0.037,16.266,50.522,-9.735
0.63,0,0.520,0.153,0.128,-0.215,-8.074,-0.029,15.066,50.072,-9.735
0.74,0,0.501,0.157,0.103,-0.256,-8.146,-0.002,16.416,51.422,-10.635
0.84,0,0.517,0.146,0.223,-0.123,-8.170,-0.035,13.716,49.022,-10.035
0.95,0,0.477,0.085,0.150,-0.113,-8.078,-0.092,15.366,49.622,-9.885
1.06,0,0.443,-0.061,-0.149,-0.258,-8.168,-0.037,16.116,49.622,-10.635
1.17,0,0.404,-0.165,-0.280,-0.426,-8.172,-0.100,14.316,48.422,-9.435
1.27,0,0.308,-0.233,-0.247,-0.357,-8.166,-0.105,15.366,50.372,-9.885
1.37,0,0.246,-0.228,-0.119,-0.281,-8.090,-0.105,15.666,50.672,-9.435
1.48,0,0.246,-0.170,0.049,-0.250,-8.160,-0.102,14.916,49.622,-9.135
1.59,0,0.244,-0.113,0.067,-0.252,-8.187,-0.098,15.816,50.072,-10.785
1.69,0,0.271,-0.086,0.042,-0.256,-8.129,-0.082,14.616,51.122,-9.435
1.80,0,0.222,-0.122,-0.119,-0.361,-8.131,-0.080,15.816,49.322,-10.035
1.91,0,0.222,-0.174,-0.150,-0.391,-8.148,-0.049,17.616,49.922,-9.885
2.01,0,0.191,-0.217,-0.075,-0.365,-8.125,-0.043,14.766,51.272,-10.335
2.11,0,0.051,-0.471,-0.533,0.031,-8.250,0.037,16.416,50.372,-9.885
2.21,0,0.355,-0.378,-1.807,-1.119,-7.748,0.090,15.816,50.072,-9.285
2.33,0,0.390,0.902,-1.206,0.244,-8.303,0.326,15.666,49.922,-10.185
2.44,0,0.156,1.476,-2.120,-0.646,-8.064,0.197,14.916,51.122,-9.435
2.53,0,0.355,1.651,-1.386,-0.246,-8.205,-0.072,14.466,50.072,-10.035
2.64,0,0.858,1.570,-0.304,-0.094,-8.102,-0.090,14.466,49.022,-9.735
2.75,0,1.239,1.113,1.270,0.102,-8.145,-0.145,13.566,50.372,-8.385
