time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.11,0,-83.258,22.770,-148.007,-0.084,-8.074,0.039,0.300,41.700,-37.050
0.21,0,-83.208,22.668,-148.004,0.045,-8.074,0.102,-0.150,42.300,-36.600
0.32,0,-83.212,22.700,-148.312,0.133,-8.078,0.133,1.650,42.600,-35.850
0.42,0,-83.224,22.730,-149.102,-0.350,-8.129,0.176,0.900,42.600,-36.900
0.54,0,-83.387,22.768,-149.172,0.119,-8.123,0.057,-1.800,41.700,-35.250
0.64,0,-83.306,22.856,-149.448,-0.037,-8.154,0.100,-0.900,41.100,-37.200
0.74,0,-83.358,22.821,-149.559,-0.094,-8.135,0.080,-0.750,41.700,-36.000
0.85,0,-83.439,22.742,-149.626,0.027,-8.061,0.105,0.150,41.850,-36.600
0.95,0,-83.407,22.784,-149.942,-0.033,-8.096,0.094,-0.900,43.500,-36.600
1.05,0,-83.444,22.747,-150.396,-0.096,-8.295,0.031,0.900,41.550,-35.400
1.17,0,-83.202,22.214,-150.599,0.207,-8.258,0.100,-0.900,42.300,-36.900
1.27,0,-82.185,21.499,-151.209,-0.168,-8.459,0.209,0.000,42.900,-35.250
1.38,0,-80.060,19.601,-151.554,0.002,-8.373,0.602,0.000,41.700,-39.000
1.48,0,-77.022,17.180,-151.471,0.119,-8.264,0.836,-0.750,40.950,-41.100
1.58,0,-72.841,14.498,-150.990,-0.029,-8.154,1.412,-1.650,40.650,-44.250
1.69,0,-68.315,11.209,-149.941,0.453,-7.830,2.148,-1.650,38.400,-49.350
1.80,0,-63.686,7.837,-149.448,0.461,-7.613,2.680,-2.550,36.300,-53.700
1.90,0,-59.029,4.324,-149.459,0.561,-7.109,3.756,-2.700,31.800,-56.850
2.01,0,-54.950,0.740,-149.373,0.801,-6.602,4.623,-4.200,29.550,-61.950
2.11,0,-51.017,-2.835,-149.454,0.645,-6.002,5.365,-3.000,27.450,-63.600
2.22,0,-46.532,-6.386,-150.604,0.826,-5.748,5.885,-4.800,23.850,-66.600
2.32,0,-41.203,-9.704,-152.556,0.785,-5.045,6.359,-4.200,16.800,-69.300
2.42,0,-35.692,-13.003,-154.259,0.852,-4.121,6.760,-4.500,13.800,-71.700
2.54,0,-29.901,-15.682,-155.861,0.447,-3.348,7.092,-3.750,7.650,-73.500
2.64,0,-25.152,-19.085,-156.712,0.900,-2.816,7.443,-2.400,3.150,-74.850
2.75,0,-20.177,-22.552,-158.176,1.355,-1.918,7.711,-2.700,-1.650,-76.350
2.85,0,-14.076,-25.173,-160.979,0.982,-0.783,7.609,-4.200,-7.050,-76.950
2.95,0,-7.241,-27.052,-164.085,0.615,-0.203,7.895,-2.250,-12.750,-74.550
3.06,0,-0.978,-29.814,-167.346,0.910,0.672,7.418,-1.950,-19.800,-74.850
3.16,0,5.790,-31.706,-170.866,0.684,1.520,7.473,-3.000,-22.800,-73.950
3.28,0,12.830,-33.534,-174.823,0.688,2.414,7.355,-2.250,-28.950,-72.000
3.38,0,20.125,-35.074,-179.151,0.816,3.361,7.008,-3.000,-33.600,-69.150
3.49,0,26.790,-35.575,176.854,0.676,4.172,6.809,-1.950,-37.200,-67.050
3.59,0,32.222,-34.854,173.749,0.395,4.744,6.502,-0.900,-41.550,-62.250
3.69,0,36.417,-33.952,171.698,0.115,4.961,6.070,-0.150,-44.550,-61.950
3.80,0,39.781,-33.446,170.251,0.016,5.275,5.863,1.200,-45.750,-59.400
3.90,0,41.839,-33.151,169.574,0.195,5.961,5.502,1.200,-46.200,-58.200
4.01,0,42.937,-33.338,169.307,0.490,5.498,5.699,1.650,-48.000,-56.850
4.12,0,43.395,-33.074,169.385,0.043,5.396,5.666,1.800,-48.300,-57.000
4.22,0,43.759,-32.836,169.192,0.172,5.811,5.861,1.800,-49.500,-57.000
4.32,0,43.705,-32.832,169.195,0.283,6.131,5.623,2.250,-49.050,-56.550
4.43,0,42.493,-32.730,170.151,0.039,6.381,5.539,1.650,-48.450,-57.450
4.53,0,39.685,-32.449,172.265,0.338,5.693,5.865,0.450,-45.750,-58.650
4.64,0,35.232,-31.926,175.039,0.271,5.150,6.113,1.950,-44.550,-60.150
4.75,0,29.844,-30.830,178.061,0.395,4.260,6.256,0.900,-41.850,-64.200
4.85,0,24.280,-28.442,-178.208,-0.646,3.404,6.596,3.150,-39.150,-66.750
4.96,0,18.318,-26.370,-175.367,-0.338,2.836,7.119,4.050,-33.150,-69.450
5.06,0,12.364,-24.070,-172.871,-0.553,1.855,7.207,3.900,-28.800,-69.600
5.16,0,6.326,-21.778,-170.826,-0.277,1.094,7.502,5.550,-22.800,-70.650
5.28,0,0.076,-18.761,-168.689,-0.514,0.330,7.273,6.000,-16.500,-72.000
5.38,0,-5.350,-14.175,-166.437,-1.621,-0.977,7.615,7.500,-13.050,-73.200
5.49,0,-11.540,-11.456,-164.432,-0.742,-2.346,7.877,8.400,-5.550,-73.350
5.58,0,-16.604,-7.808,-163.185,-0.971,-2.775,7.070,8.550,-1.050,-71.700
5.69,0,-20.876,-2.948,-163.290,-1.414,-3.424,7.240,8.550,3.450,-69.900
5.80,0,-26.066,1.121,-164.033,-1.742,-4.037,6.742,11.400,8.250,-66.750
5.91,0,-31.598,4.929,-165.312,-1.523,-4.807,6.424,10.650,15.900,-64.800
6.01,0,-38.012,6.840,-165.625,-1.127,-5.258,5.689,12.900,21.450,-61.200
6.11,0,-44.379,9.076,-165.696,-1.453,-6.170,4.814,10.650,24.450,-59.700
6.22,0,-51.434,11.396,-164.855,-0.873,-7.006,4.074,7.650,27.900,-55.350
6.32,0,-58.614,14.114,-164.444,-0.760,-7.492,3.410,6.300,33.600,-51.750
6.43,0,-66.110,16.706,-163.803,-0.115,-8.227,3.178,4.500,35.550,-46.350
6.54,0,-73.023,18.784,-162.606,-0.225,-7.910,1.791,3.450,38.850,-40.650
6.63,0,-77.997,20.977,-162.365,0.152,-8.592,1.383,3.000,41.700,-37.500
6.76,0,-81.560,22.014,-161.983,-0.135,-8.330,0.287,2.250,42.150,-34.950
6.86,0,-84.220,22.964,-161.550,0.234,-8.123,0.023,1.800,41.250,-33.450
6.96,0,-84.834,23.312,-162.399,0.201,-8.408,-0.123,1.500,42.450,-30.450
7.07,0,-84.602,23.450,-163.213,-0.195,-8.033,-0.260,1.500,41.700,-31.950
7.17,0,-84.748,23.724,-162.785,-0.033,-8.178,-0.143,2.400,42.300,-31.800
7.27,0,-84.518,23.981,-162.662,-0.137,-8.217,0.027,1.950,41.550,-31.050
7.39,0,-83.916,23.953,-162.128,-0.291,-8.100,-0.150,3.000,42.150,-33.000
7.49,0,-83.838,23.923,-161.688,-0.406,-8.170,-0.043,2.400,43.050,-32.100
