time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.06,0,-5.362,42.946,-39.436,-1.832,-7.813,0.412,14.550,35.100,-30.900
0.11,0,-5.202,42.824,-39.434,-1.834,-7.939,0.486,14.250,34.800,-31.500
0.17,0,-4.972,42.707,-39.417,-1.871,-7.943,0.521,13.800,34.350,-30.450
0.22,0,-4.864,42.667,-39.421,-1.883,-7.920,0.484,14.400,34.200,-31.350
0.27,0,-4.830,42.601,-39.439,-1.748,-7.969,0.559,15.000,35.100,-30.450
0.33,0,-4.865,42.456,-40.030,-1.971,-7.908,0.531,13.950,32.550,-30.600
0.37,0,-4.897,42.327,-40.303,-1.920,-7.930,0.516,13.800,33.150,-30.450
0.44,0,-5.045,42.250,-40.630,-1.883,-7.893,0.453,14.250,34.800,-30.450
0.49,0,-5.174,42.205,-40.862,-1.982,-7.898,0.475,14.550,33.600,-31.500
0.54,0,-5.221,42.178,-40.860,-1.875,-7.898,0.535,14.400,34.200,-30.600
0.59,0,-5.301,42.153,-40.795,-1.900,-7.898,0.506,13.500,33.900,-30.150
0.64,0,-5.268,42.110,-40.483,-1.930,-8.010,0.570,14.550,33.900,-30.450
0.71,0,-5.418,42.071,-40.216,-1.799,-7.877,0.549,15.450,33.750,-32.100
0.75,0,-5.481,41.927,-40.103,-1.805,-8.000,0.496,15.900,33.450,-30.600
0.81,0,-5.545,41.650,-40.436,-1.979,-7.770,0.537,14.550,32.850,-31.500
0.84,0,-5.713,41.304,-40.692,-1.848,-7.932,0.480,13.800,34.800,-30.900
0.91,0,-5.821,40.840,-41.055,-1.871,-7.752,0.512,13.800,34.350,-31.500
0.96,0,-5.955,40.368,-41.413,-1.828,-7.787,0.463,15.750,33.150,-31.200
1.01,0,-6.065,39.948,-41.956,-2.008,-7.832,0.465,15.750,31.950,-30.900
1.07,0,-6.073,39.751,-42.284,-2.000,-7.855,0.580,14.700,32.550,-31.050
1.11,0,-5.973,39.853,-42.119,-1.873,-7.861,0.533,15.450,33.450,-31.800
1.17,0,-5.749,40.143,-41.945,-1.947,-7.930,0.580,13.800,34.350,-31.200
1.22,0,-5.498,40.317,-41.982,-1.945,-7.914,0.623,15.000,32.850,-31.200
1.28,0,-5.432,40.364,-42.209,-2.039,-7.902,0.537,15.450,33.000,-31.800
1.32,0,-5.451,40.282,-42.469,-2.021,-7.957,0.557,13.650,33.750,-30.300
1.38,0,-5.609,40.141,-42.768,-2.094,-7.906,0.529,13.800,33.150,-31.200
1.43,0,-5.795,40.080,-42.815,-1.973,-7.943,0.480,14.550,33.150,-29.700
1.48,0,-5.988,40.163,-42.806,-1.951,-7.828,0.543,14.550,33.900,-32.250
1.54,0,-6.148,40.241,-42.724,-1.945,-7.879,0.574,13.500,33.150,-31.950
1.59,0,-6.281,40.296,-42.633,-1.904,-7.893,0.520,15.450,33.000,-31.800
1.64,0,-6.386,40.300,-42.616,-2.020,-7.863,0.553,14.250,32.400,-32.250
1.69,0,-6.397,40.267,-42.484,-1.896,-7.869,0.523,15.750,33.600,-31.200
1.74,0,-6.452,40.202,-42.439,-2.006,-7.893,0.531,14.250,34.350,-31.500
1.81,0,-6.428,40.104,-42.259,-1.898,-7.863,0.533,14.550,33.900,-31.200
1.85,0,-6.385,40.030,-42.049,-1.930,-7.889,0.500,14.400,32.250,-30.300
1.91,0,-6.297,39.979,-41.775,-1.836,-7.881,0.555,15.900,34.950,-32.850
1.95,0,-6.229,39.914,-41.602,-1.861,-7.924,0.604,13.200,33.450,-31.050
2.01,0,-6.214,39.835,-41.542,-1.924,-7.871,0.580,13.050,33.600,-30.900
2.06,0,-6.230,39.733,-41.594,-1.883,-7.941,0.588,15.450,33.750,-31.050
2.12,0,-6.309,39.647,-41.792,-1.949,-7.855,0.617,15.300,33.900,-30.900
2.17,0,-6.440,39.625,-42.011,-1.949,-7.869,0.588,15.750,34.350,-30.150
2.22,0,-6.523,39.646,-42.121,-1.924,-7.857,0.604,14.550,35.100,-31.500
2.27,0,-6.564,39.691,-42.267,-1.943,-7.877,0.557,14.400,33.450,-31.350
2.33,0,-6.623,39.700,-42.424,-2.000,-7.875,0.615,13.950,34.200,-31.800
2.37,0,-6.633,39.765,-42.400,-1.867,-7.820,0.604,15.450,34.200,-31.800
2.44,0,-6.669,39.793,-42.473,-1.916,-7.889,0.604,13.050,32.400,-30.450
2.49,0,-6.658,39.835,-42.613,-1.904,-7.902,0.584,13.800,34.800,-30.450
2.54,0,-6.662,39.887,-42.723,-1.977,-7.826,0.576,12.300,33.600,-31.950
2.59,0,-6.673,39.951,-42.750,-1.926,-7.855,0.537,13.200,33.450,-29.850
2.64,0,-6.646,39.999,-42.734,-1.924,-7.938,0.561,13.800,35.100,-30.900
2.69,0,-6.616,40.023,-42.781,-1.904,-7.957,0.545,16.050,34.350,-31.500
2.75,0,-6.556,40.028,-42.849,-1.883,-7.877,0.547,14.250,33.900,-30.150
2.81,0,-6.542,39.994,-42.929,-1.943,-7.898,0.563,13.950,33.750,-30.300
2.86,0,-6.518,39.952,-42.923,-1.904,-7.902,0.547,14.550,33.900,-30.150
2.91,0,-6.499,39.923,-42.936,-1.924,-7.943,0.572,13.650,33.750,-31.350
2.96,0,-6.497,39.903,-42.935,-1.928,-7.883,0.492,14.400,33.450,-29.850
3.01,0,-6.496,39.841,-42.934,-1.895,-7.863,0.537,15.150,33.750,-31.350
3.08,0,-6.454,39.777,-42.938,-1.943,-7.918,0.559,14.550,33.900,-31.200
3.12,0,-6.418,39.687,-42.934,-1.867,-7.975,0.541,13.800,31.950,-30.450
3.17,0,-6.371,39.547,-43.230,-2.016,-7.775,0.584,13.800,33.900,-31.200
3.22,0,-6.455,39.473,-43.254,-1.861,-7.928,0.564,15.750,33.600,-30.450
3.27,0,-6.495,39.356,-43.379,-1.984,-7.920,0.549,13.950,34.200,-29.550
3.32,0,-6.545,39.304,-43.539,-1.930,-7.873,0.563,13.200,33.000,-30.600
3.39,0,-6.538,39.261,-43.365,-1.826,-7.900,0.445,15.150,35.250,-31.800
3.44,0,-6.456,39.219,-43.425,-1.922,-7.867,0.629,14.400,35.250,-31.800
3.49,0,-6.440,39.228,-43.393,-1.941,-7.836,0.570,13.650,32.550,-29.850
3.54,0,-6.403,39.287,-43.316,-1.895,-7.873,0.578,15.000,34.800,-30.150
3.59,0,-6.333,39.348,-43.416,-2.012,-7.895,0.609,15.450,33.750,-31.050
3.64,0,-6.246,39.360,-43.457,-1.971,-7.973,0.625,15.450,33.750,-31.050
3.71,0,-6.191,39.332,-43.489,-2.035,-7.924,0.512,14.700,34.500,-31.050
3.76,0,-6.267,39.314,-43.451,-2.047,-7.814,0.455,14.550,33.150,-30.150
3.81,0,-6.559,39.391,-43.790,-2.246,-7.918,0.555,15.300,34.800,-31.950
3.86,0,-6.988,39.676,-43.474,-1.717,-7.809,0.512,15.750,33.150,-30.900
3.91,0,-7.133,39.788,-43.172,-1.547,-7.832,0.484,14.700,33.750,-29.850
3.96,0,-7.047,39.593,-43.499,-1.887,-7.900,0.662,15.750,33.600,-32.700
4.02,0,-6.953,39.427,-43.628,-1.898,-7.904,0.551,15.300,32.850,-30.900
4.08,0,-6.898,39.417,-43.507,-1.988,-7.900,0.605,13.800,34.800,-31.200
4.12,0,-6.926,39.484,-43.397,-1.891,-7.922,0.545,15.300,33.900,-31.500
4.17,0,-7.050,39.614,-43.469,-1.912,-7.912,0.613,14.550,34.350,-32.700
4.22,0,-7.188,39.651,-43.599,-1.787,-7.768,0.582,14.400,33.750,-30.600
4.27,0,-7.151,39.600,-43.912,-1.937,-7.895,0.555,13.950,34.950,-31.800
4.34,0,-7.119,39.505,-44.215,-2.059,-7.984,0.609,14.250,34.350,-31.500
4.39,0,-7.272,39.542,-44.292,-1.988,-7.861,0.566,13.950,33.750,-31.800
4.44,0,-7.402,39.649,-44.279,-1.914,-7.906,0.574,13.800,32.850,-31.500
4.49,0,-7.450,39.696,-44.162,-1.881,-7.902,0.627,14.400,34.950,-31.350
4.54,0,-7.472,39.671,-44.203,-1.969,-7.814,0.557,16.050,33.900,-31.200
4.59,0,-7.505,39.644,-44.179,-2.012,-7.881,0.645,15.750,34.350,-32.250
4.66,0,-7.629,39.665,-43.785,-1.758,-7.883,0.643,15.000,34.800,-31.950
4.71,0,-7.593,39.577,-43.501,-1.748,-7.924,0.605,14.550,32.850,-31.950
4.76,0,-7.323,39.342,-43.399,-1.834,-8.037,0.680,14.250,33.900,-30.900
4.81,0,-7.042,39.007,-43.332,-1.906,-8.004,0.639,15.750,33.900,-31.950
4.86,0,-6.746,38.627,-43.286,-1.934,-7.873,0.652,14.550,33.600,-32.250
4.91,0,-6.641,38.254,-43.457,-1.975,-7.953,0.641,14.700,33.450,-31.800
4.96,0,-6.644,37.882,-43.835,-2.055,-7.898,0.445,15.750,33.150,-31.950
5.02,0,-6.502,37.534,-44.053,-2.217,-7.900,0.641,15.150,32.550,-29.850
5.08,0,-6.496,37.170,-43.705,-2.047,-7.893,0.689,14.700,33.000,-31.800
5.12,0,-6.888,36.665,-43.834,-2.012,-8.004,0.658,15.000,32.850,-31.950
5.17,0,-7.650,35.774,-44.465,-2.221,-7.922,0.689,15.750,31.950,-32.700
5.22,0,-9.202,34.270,-45.466,-1.797,-7.898,1.014,16.050,33.150,-33.000
5.29,0,-11.264,32.020,-47.782,-2.064,-8.096,1.352,15.750,33.150,-34.200
5.34,0,-13.951,28.321,-51.562,-2.385,-7.898,1.854,16.500,30.900,-34.950
5.39,0,-16.923,23.489,-56.274,-2.459,-8.031,2.012,18.300,30.450,-35.250
5.44,0,-19.764,17.633,-61.552,-2.486,-7.701,2.162,18.450,28.800,-37.650
5.48,0,-21.789,11.199,-67.441,-2.934,-7.307,2.729,19.950,27.900,-39.900
5.54,0,-23.724,4.559,-71.875,-3.193,-6.988,2.973,18.450,26.850,-41.700
5.61,0,-24.663,-1.945,-74.810,-2.607,-6.916,3.551,21.900,23.250,-43.500
5.66,0,-25.125,-8.736,-78.021,-3.525,-6.352,3.887,22.500,23.100,-43.650
5.71,0,-24.764,-15.806,-80.962,-3.547,-6.047,4.043,23.400,19.800,-45.750
5.76,0,-23.276,-23.059,-83.869,-3.855,-5.857,4.361,24.300,16.200,-46.650
5.81,0,-20.988,-30.325,-86.976,-4.117,-5.441,4.563,26.250,13.050,-47.400
5.86,0,-18.639,-37.281,-90.209,-4.615,-4.744,4.785,27.750,10.350,-47.100
5.91,0,-17.725,-43.960,-92.110,-4.752,-4.438,4.803,28.950,6.750,-48.000
5.97,0,-14.861,-50.488,-94.674,-4.863,-4.248,4.998,29.700,5.550,-47.550
6.01,0,-8.836,-57.039,-99.986,-5.133,-3.652,5.012,31.200,1.650,-47.550
6.08,0,0.002,-63.065,-107.531,-5.516,-2.969,4.961,32.250,-1.500,-47.100
6.11,0,11.986,-68.599,-117.814,-6.113,-2.531,5.182,32.700,-4.800,-45.750
6.17,0,27.178,-73.226,-131.806,-6.016,-1.973,5.221,33.300,-7.650,-43.650
6.23,0,46.687,-77.040,-150.913,-6.191,-1.512,5.094,34.650,-12.150,-44.250
6.29,0,74.201,-79.447,-178.800,-6.154,-0.895,4.920,33.000,-16.200,-44.850
6.33,0,106.180,-78.747,148.819,-5.545,-0.756,5.063,33.450,-18.300,-45.750
6.39,0,125.065,-75.032,129.879,-5.779,-0.043,5.129,33.000,-21.900,-44.100
6.44,0,134.381,-70.244,122.037,-5.869,0.424,5.168,31.200,-26.400,-42.750
6.49,0,140.157,-66.047,116.412,-5.828,1.027,5.137,31.950,-28.350,-43.200
6.54,0,144.576,-62.305,112.112,-5.658,1.133,5.004,30.000,-30.150,-42.300
6.61,0,147.059,-58.592,110.346,-5.564,1.684,5.016,29.700,-32.550,-42.000
6.64,0,148.644,-55.078,110.153,-5.584,2.121,5.031,30.300,-35.550,-41.100
6.71,0,150.549,-52.194,109.855,-5.543,2.199,4.822,28.800,-37.050,-40.800
6.76,0,152.441,-49.354,110.805,-5.383,2.590,4.941,28.050,-37.050,-38.250
6.81,0,153.653,-47.112,111.627,-5.701,2.709,4.754,27.750,-40.200,-37.800
6.86,0,155.021,-45.210,111.591,-5.600,2.873,4.734,26.400,-41.100,-38.700
6.91,0,156.113,-43.645,110.991,-5.375,3.146,4.494,27.000,-42.450,-37.500
6.96,0,157.414,-42.000,111.652,-5.402,3.490,4.639,24.750,-43.200,-37.050
7.01,0,158.939,-40.362,113.301,-5.285,3.520,4.678,25.050,-43.950,-37.500
7.08,0,160.131,-38.979,114.988,-5.248,3.670,4.598,25.050,-44.850,-34.500
7.13,0,160.535,-38.177,116.018,-5.162,3.789,4.273,24.150,-45.000,-35.400
7.17,0,160.875,-37.468,117.382,-5.332,4.012,4.313,23.550,-47.550,-36.300
7.23,0,161.671,-36.836,119.041,-5.170,4.000,4.330,23.250,-47.850,-36.000
7.27,0,162.088,-36.309,120.663,-5.285,4.264,4.314,21.750,-47.550,-34.950
7.33,0,162.399,-35.941,121.548,-4.961,4.266,4.299,21.900,-47.700,-35.100
7.39,0,162.565,-35.740,122.876,-4.582,4.508,4.141,20.550,-48.300,-34.950
7.44,0,163.227,-35.663,124.672,-4.863,4.445,4.275,20.250,-50.550,-34.950
7.48,0,163.706,-35.756,126.516,-4.826,4.445,4.400,20.250,-49.800,-34.950
7.55,0,164.189,-36.038,128.384,-4.771,4.691,4.271,19.950,-51.150,-35.400
7.61,0,164.412,-36.515,130.221,-4.723,4.682,4.086,19.650,-49.950,-33.900
7.66,0,164.621,-37.023,132.355,-4.807,4.715,4.357,19.950,-51.150,-35.400
7.71,0,164.905,-37.605,134.761,-4.646,4.582,4.324,19.950,-50.850,-34.350
7.76,0,165.266,-38.336,137.008,-4.676,4.508,4.270,18.150,-51.600,-32.850
7.81,0,165.411,-39.138,139.383,-4.762,4.727,4.250,20.400,-50.400,-33.900
7.86,0,165.511,-39.940,141.989,-4.662,4.666,4.211,18.150,-52.350,-33.300
7.91,0,166.421,-40.704,145.327,-4.514,4.646,3.943,19.500,-52.200,-35.250
7.96,0,166.165,-41.686,149.059,-5.328,4.879,4.285,18.750,-52.950,-32.250
8.03,0,165.976,-42.540,151.044,-4.740,4.785,4.076,17.700,-50.850,-32.100
8.08,0,165.963,-43.417,152.998,-4.576,4.756,4.219,19.200,-51.600,-33.300
8.13,0,166.261,-44.407,155.853,-4.629,4.711,4.213,18.900,-51.900,-33.900
8.17,0,166.844,-45.473,158.498,-4.977,4.912,4.258,19.800,-50.250,-33.000
