time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.03,0,-3.449,-0.207,-2.149,-2.383,-7.816,1.152,17.550,31.200,-34.950
0.08,0,-3.356,-0.121,-1.916,-2.219,-7.668,1.096,16.200,31.800,-35.400
0.12,0,-3.302,-0.057,-1.783,-2.287,-7.660,1.115,16.950,33.000,-36.150
0.19,0,-3.295,-0.045,-1.550,-2.238,-7.723,1.064,16.050,32.850,-35.250
0.24,0,-3.298,0.042,-1.244,-2.232,-7.756,1.107,15.450,33.000,-35.100
0.29,0,-3.272,0.075,-1.010,-2.148,-7.701,1.053,15.300,32.850,-36.300
0.34,0,-3.204,0.102,-0.778,-2.166,-7.709,1.010,15.750,32.850,-36.750
0.39,0,-3.104,0.022,-0.780,-2.234,-7.797,0.996,15.300,32.850,-35.250
0.44,0,-2.968,-0.095,-0.719,-2.178,-7.822,1.045,15.000,31.950,-34.950
0.51,0,-2.791,-0.155,-0.666,-2.225,-7.867,1.062,14.700,29.850,-36.150
0.55,0,-2.666,-0.175,-0.733,-2.293,-7.807,1.016,16.500,31.200,-34.500
0.61,0,-2.601,-0.112,-0.880,-2.365,-7.752,1.016,16.200,31.500,-35.400
0.65,0,-2.598,0.030,-0.764,-2.217,-7.809,1.061,15.000,31.650,-34.200
0.71,0,-2.645,0.216,-0.659,-2.281,-7.764,1.127,16.800,30.900,-35.550
0.77,0,-2.743,0.374,-0.600,-2.191,-7.756,1.049,15.900,32.550,-36.150
0.82,0,-2.860,0.508,-0.615,-2.139,-7.779,1.014,14.550,31.650,-34.200
0.87,0,-2.955,0.550,-0.741,-2.205,-7.736,1.014,15.750,32.400,-36.750
0.93,0,-2.982,0.562,-0.842,-2.109,-7.754,1.068,15.450,33.450,-36.600
0.97,0,-2.952,0.580,-1.016,-2.279,-7.727,1.016,15.450,31.500,-33.900
1.02,0,-2.831,0.638,-0.994,-2.262,-7.797,1.059,15.750,33.150,-34.950
1.10,0,-2.649,0.733,-0.896,-2.221,-7.723,1.041,16.200,31.800,-34.650
