time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.08,1,1.767,0.109,4.062,1.305,7.750,1.374,-16.806,-44.013,-24.723
0.19,1,1.646,0.239,4.073,1.240,7.646,1.278,-17.406,-45.363,-25.323
0.29,1,1.782,0.341,3.639,1.422,7.654,1.517,-18.006,-45.813,-26.523
0.39,1,1.718,0.347,3.293,1.332,7.887,1.317,-17.406,-43.863,-26.523
0.50,1,1.757,0.299,2.603,1.348,7.709,1.421,-16.506,-43.713,-26.673
0.60,1,1.825,0.150,2.160,1.480,7.730,1.460,-18.456,-44.613,-28.623
0.71,1,1.861,0.134,2.300,1.354,7.795,1.278,-19.656,-45.213,-25.173
0.81,1,1.958,0.156,2.390,1.391,7.730,1.370,-16.656,-44.613,-26.073
0.92,1,2.056,0.195,2.471,1.432,7.695,1.271,-16.806,-44.463,-25.923
1.01,1,2.116,0.218,2.679,1.297,7.705,1.306,-17.706,-44.613,-25.773
1.13,1,2.142,0.203,2.765,1.303,7.824,1.325,-16.056,-43.713,-25.173
1.23,1,2.259,0.286,2.952,1.363,7.779,1.315,-17.256,-44.013,-26.223
1.33,1,2.391,0.401,3.126,1.330,7.820,1.362,-17.556,-45.663,-26.223
1.44,1,2.433,0.580,3.316,1.215,7.766,1.290,-17.406,-46.263,-26.523
1.55,1,2.419,0.801,3.270,1.168,7.893,1.394,-16.056,-44.013,-26.673
1.65,1,2.460,1.211,3.333,1.211,7.764,1.524,-15.456,-44.613,-25.023
1.75,1,2.280,1.781,3.587,1.334,7.773,1.528,-15.306,-44.463,-27.423
1.86,1,1.785,2.479,3.808,1.084,7.908,1.737,-15.756,-44.463,-26.973
1.96,1,1.042,3.406,3.980,1.100,7.832,1.687,-14.706,-44.613,-27.873
2.06,1,0.425,4.553,4.122,1.379,7.457,1.890,-14.406,-44.313,-29.373
2.16,1,0.150,5.792,5.315,1.012,7.783,2.071,-13.654,-43.411,-30.573
2.28,1,-0.081,6.910,6.924,0.551,7.572,2.282,-13.204,-42.361,-30.573
2.38,1,0.155,8.561,8.686,0.299,7.693,2.370,-11.554,-44.461,-31.773
2.50,1,0.333,10.133,9.299,0.309,7.689,2.378,-10.804,-42.811,-33.723
2.59,1,0.661,11.845,9.296,0.072,7.666,2.712,-7.804,-42.061,-32.523
2.69,1,1.183,14.241,9.485,-0.320,7.943,3.054,-5.704,-39.961,-35.673
2.80,1,1.677,17.093,9.854,-0.795,7.492,3.171,-4.965,-41.448,-36.125
2.90,1,1.863,20.396,9.317,-1.295,7.389,3.315,-2.265,-40.698,-35.675
3.01,1,1.620,24.208,7.734,-1.004,7.092,3.116,-1.069,-39.345,-38.525
