time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.11,1,0.698,0.593,-2.313,1.394,7.799,0.951,-23.354,-45.629,-18.311
0.19,1,0.672,0.556,-2.352,1.403,7.836,0.912,-23.654,-45.629,-17.561
0.30,1,0.672,0.564,-2.404,1.380,7.809,0.979,-22.904,-46.079,-19.061
0.40,1,0.723,0.590,-2.413,1.378,7.836,0.920,-22.154,-46.829,-18.761
0.50,1,0.774,0.628,-2.446,1.460,7.828,0.953,-22.004,-45.479,-18.461
0.61,1,0.821,0.652,-2.407,1.345,7.834,0.896,-21.254,-45.479,-17.861
0.71,1,0.895,0.702,-2.390,1.306,7.814,0.971,-20.804,-45.029,-18.161
0.81,1,0.904,0.683,-2.572,1.431,7.852,0.918,-24.854,-46.379,-19.511
0.93,1,0.885,0.685,-2.706,1.362,7.832,0.979,-23.654,-44.879,-19.061
1.02,1,0.893,0.678,-2.838,1.397,7.863,0.922,-22.004,-45.779,-18.161
1.13,1,0.880,0.693,-2.970,1.429,7.828,0.949,-22.304,-46.229,-18.911
1.24,1,0.886,0.697,-3.017,1.356,7.875,0.920,-21.854,-46.079,-18.761
1.35,1,0.922,0.733,-3.069,1.407,7.855,0.947,-22.154,-46.829,-18.011
1.45,1,0.900,0.711,-3.184,1.353,7.834,0.918,-23.504,-44.729,-18.911
1.56,1,0.902,0.755,-3.249,1.370,7.809,0.936,-20.504,-44.279,-17.861
1.66,1,0.908,0.757,-3.395,1.366,7.838,0.926,-22.154,-45.179,-18.761
1.76,1,0.936,0.789,-3.429,1.386,7.795,0.938,-23.054,-45.779,-18.161
1.87,1,0.921,0.790,-3.394,1.349,7.857,0.934,-22.154,-46.379,-17.561
1.97,1,0.928,0.813,-3.448,1.372,7.801,0.951,-22.004,-45.779,-18.911
2.08,1,0.958,0.817,-3.633,1.415,7.844,0.996,-22.154,-46.379,-19.061
2.17,1,0.980,0.873,-3.714,1.382,7.885,0.930,-22.004,-45.779,-17.411
2.29,1,0.960,0.939,-3.784,1.431,7.824,0.992,-22.904,-46.379,-18.761
2.40,1,0.886,1.003,-3.543,1.435,7.809,1.084,-22.904,-43.679,-18.761
2.50,1,0.745,1.160,-3.121,1.460,7.959,0.928,-21.854,-45.629,-18.011
2.60,1,0.688,1.482,-2.729,1.284,7.941,1.174,-22.154,-45.179,-18.761
2.70,1,0.212,2.294,-0.459,1.188,8.070,1.904,-20.354,-45.177,-18.762
2.80,1,-1.076,3.602,-0.144,1.345,7.814,1.695,-21.404,-45.177,-20.262
