time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.12,1,0.693,0.757,4.540,2.227,7.689,1.371,-6.750,-30.450,-45.900
0.21,1,0.574,0.700,4.823,1.867,7.793,1.270,-7.650,-30.300,-46.050
0.33,1,0.413,0.610,4.518,2.012,7.605,1.064,-7.050,-28.050,-46.650
0.44,1,0.431,0.586,4.616,1.945,7.738,1.354,-6.300,-28.050,-47.400
0.55,1,0.336,0.695,4.539,2.002,7.703,1.164,-7.350,-29.550,-46.800
0.65,1,0.269,0.676,4.202,2.025,7.643,1.260,-6.000,-28.950,-45.900
0.75,1,0.193,0.785,4.411,1.945,7.662,1.295,-6.150,-28.650,-45.600
0.85,1,0.123,0.939,4.798,1.891,7.736,1.223,-6.300,-28.500,-46.650
0.95,1,0.074,1.081,4.905,1.889,7.658,1.217,-6.600,-28.650,-46.800
1.06,1,0.036,1.182,5.054,1.865,7.744,1.250,-7.350,-28.650,-47.550
1.17,1,-0.025,1.310,5.110,1.854,7.709,1.301,-5.550,-29.250,-49.200
1.27,1,-0.139,1.402,5.105,1.887,7.648,1.340,-5.700,-29.100,-47.550
1.37,1,-0.219,1.530,5.068,1.867,7.709,1.414,-7.350,-28.650,-47.100
1.47,1,-0.408,1.563,5.236,1.682,7.822,1.559,-5.550,-28.950,-47.700
1.58,1,-0.535,1.990,4.838,1.361,9.232,1.844,-5.250,-28.050,-48.000
1.69,1,-0.895,2.381,1.772,1.719,8.600,2.615,-5.400,-28.350,-47.550
1.79,1,-3.070,2.136,-1.565,1.752,7.777,2.600,-6.600,-27.450,-47.550
1.91,1,-7.053,1.205,-6.659,2.021,8.885,2.186,-7.350,-26.700,-50.400
2.00,1,-11.604,1.891,-9.718,2.420,8.195,3.279,-10.050,-24.150,-51.750
2.10,1,-14.805,-0.160,-12.126,2.574,8.037,3.191,-9.600,-22.800,-53.400
2.21,1,-18.177,-5.064,-15.535,3.273,6.914,3.168,-13.950,-19.050,-52.950
2.31,1,-24.605,-8.527,-17.362,3.441,5.752,2.855,-16.950,-13.650,-55.800
2.41,1,-31.475,-10.298,-17.630,3.977,5.512,3.500,-17.400,-9.450,-58.200
2.52,1,-38.156,-8.314,-15.316,2.957,4.775,4.189,-15.750,-4.950,-62.100
2.63,1,-43.349,-6.444,-14.242,2.902,4.123,5.572,-13.500,-0.750,-66.900
2.75,1,-48.469,-3.741,-13.085,1.896,3.205,5.699,-10.050,1.050,-71.100
2.85,1,-52.203,-3.101,-13.058,1.205,2.707,5.336,-10.650,4.050,-72.750
2.95,1,-52.917,-2.302,-13.276,1.230,3.178,6.398,-7.650,6.000,-73.050
3.05,1,-52.021,-1.851,-13.736,2.123,3.334,7.457,-8.100,4.500,-72.000
3.15,1,-51.374,-0.880,-14.192,2.187,3.500,7.412,-8.550,3.450,-72.150
3.25,1,-51.179,-0.551,-14.787,2.004,3.734,6.848,-8.400,1.650,-71.250
3.36,1,-51.011,0.222,-15.301,1.873,3.934,7.152,-7.050,2.250,-72.150
3.47,1,-51.521,2.128,-15.736,2.744,3.834,10.756,-6.600,2.400,-74.100
3.57,1,-57.349,3.861,-16.906,1.842,4.283,8.787,-4.050,5.850,-75.900
3.67,1,-65.115,2.129,-20.360,1.170,2.500,5.697,-3.750,11.700,-76.650
3.79,1,-69.978,2.796,-22.565,1.572,1.904,7.049,-1.800,13.950,-75.150
3.89,1,-72.881,4.473,-23.040,1.523,1.592,9.039,-1.650,18.900,-76.800
3.99,1,-76.656,5.729,-23.084,0.484,0.635,8.230,-0.750,21.450,-78.000
4.11,1,-81.333,6.508,-23.310,0.076,-0.469,7.592,3.300,25.350,-76.650
4.21,1,-85.896,6.995,-23.453,-0.223,-0.859,7.578,3.300,27.750,-76.200
4.29,1,-89.500,6.969,-23.430,-1.100,-1.236,6.164,4.950,33.000,-77.100
4.41,1,-90.753,6.703,-23.405,-0.484,-1.936,6.717,5.700,33.750,-74.850
