time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.10,1,0.383,0.186,-1.900,1.608,7.815,0.774,-24.865,-45.170,-17.271
0.20,1,0.449,0.229,-1.841,1.659,7.692,0.868,-24.115,-45.170,-16.821
0.32,1,0.484,0.256,-1.842,1.608,7.778,0.796,-25.015,-45.470,-17.121
0.42,1,0.497,0.298,-1.843,1.671,7.761,0.829,-23.065,-45.470,-18.171
0.52,1,0.504,0.309,-1.851,1.671,7.813,0.841,-24.115,-46.070,-17.571
0.62,1,0.502,0.308,-1.849,1.673,7.782,0.808,-23.815,-45.470,-18.471
0.74,1,0.504,0.315,-1.769,1.665,7.759,0.837,-24.115,-46.370,-16.821
0.84,1,0.534,0.339,-1.765,1.642,7.769,0.821,-24.265,-45.770,-15.921
0.94,1,0.524,0.335,-1.745,1.669,7.765,0.804,-24.715,-45.770,-16.671
1.04,1,0.521,0.348,-1.775,1.640,7.753,0.833,-23.665,-44.870,-19.071
1.14,1,0.516,0.362,-1.770,1.681,7.757,0.790,-23.815,-43.520,-18.171
1.24,1,0.523,0.372,-1.808,1.679,7.747,0.802,-24.715,-44.270,-17.121
1.34,1,0.533,0.367,-1.915,1.665,7.759,0.831,-24.265,-46.220,-17.421
1.46,1,0.585,0.392,-1.973,1.651,7.835,0.767,-24.415,-46.070,-17.571
1.56,1,0.647,0.412,-2.064,1.661,7.708,0.854,-24.715,-45.770,-18.171
1.66,1,0.647,0.388,-2.136,1.618,7.774,0.833,-24.415,-45.170,-16.071
1.77,1,0.626,0.411,-2.186,1.612,7.794,0.845,-24.415,-42.920,-17.571
1.88,1,0.630,0.441,-2.194,1.614,7.722,0.810,-23.365,-45.620,-17.271
1.97,1,0.642,0.477,-2.172,1.722,7.765,0.833,-23.515,-43.820,-17.121
2.08,1,0.657,0.515,-2.092,1.634,7.712,0.808,-23.065,-44.720,-17.871
2.18,1,0.700,0.523,-2.131,1.638,7.755,0.823,-23.065,-47.420,-18.171
2.29,1,0.729,0.500,-2.191,1.612,7.757,0.784,-24.265,-45.770,-16.671
2.39,1,0.759,0.482,-2.373,1.683,7.774,0.866,-25.015,-46.970,-17.121
2.50,1,0.754,0.467,-2.462,1.591,7.810,0.819,-22.315,-45.470,-17.871
2.60,1,0.746,0.468,-2.602,1.683,7.794,0.813,-24.115,-45.170,-18.021
2.72,1,0.724,0.461,-2.636,1.595,7.759,0.819,-25.165,-46.370,-17.571
2.81,1,0.736,0.462,-2.603,1.577,7.827,0.802,-23.365,-44.870,-16.821
2.92,1,0.800,0.480,-2.601,1.610,7.813,0.769,-24.265,-45.770,-18.171
3.02,1,0.812,0.466,-2.689,1.667,7.751,0.823,-23.815,-45.770,-17.121
3.13,1,0.784,0.485,-2.762,1.653,7.759,0.815,-24.115,-47.570,-15.771
3.23,1,0.743,0.492,-2.835,1.642,7.757,0.849,-25.015,-46.670,-18.171
3.33,1,0.676,0.520,-2.868,1.646,7.776,0.821,-25.165,-44.870,-16.521
3.43,1,0.638,0.586,-2.795,1.667,7.757,0.849,-24.265,-44.720,-17.871
3.54,1,0.698,0.762,-2.584,1.675,7.790,1.011,-24.865,-45.170,-17.571
3.65,1,0.653,1.113,-2.325,1.640,7.819,0.976,-24.265,-45.770,-16.671
3.77,1,0.490,1.545,-2.011,1.657,7.657,0.868,-24.415,-46.820,-18.771
3.86,1,0.291,1.862,-1.613,1.577,7.790,0.940,-22.915,-45.170,-19.071
3.97,1,-0.001,2.285,-0.927,1.423,7.841,1.341,-23.515,-44.720,-18.171
4.07,1,-0.571,3.110,-0.365,1.587,7.839,1.690,-23.815,-43.820,-19.671
4.18,1,-1.627,4.209,-1.110,1.591,7.866,1.745,-22.165,-43.670,-22.371
