time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.10,1,0.312,0.107,-1.333,2.023,7.738,0.256,-7.050,-28.500,-42.450
0.23,1,0.331,0.180,-1.336,2.018,7.701,0.273,-6.300,-29.250,-41.700
0.33,1,0.340,0.268,-1.235,2.057,7.750,0.299,-6.750,-28.500,-41.700
0.43,1,0.356,0.219,-1.222,1.984,7.758,0.352,-6.000,-27.000,-42.450
0.53,1,0.368,0.292,-1.229,1.949,7.693,0.342,-5.550,-29.700,-43.200
0.63,1,0.357,0.330,-1.267,2.014,7.732,0.270,-7.350,-29.100,-43.050
0.74,1,0.325,0.271,-1.363,1.861,7.668,0.289,-6.000,-29.250,-43.650
0.84,1,0.306,0.255,-1.370,1.951,7.730,0.291,-7.350,-28.350,-43.500
0.94,1,0.294,0.254,-1.391,2.033,7.676,0.279,-6.000,-28.500,-42.450
1.06,1,0.312,0.263,-1.475,1.906,7.727,0.266,-4.950,-30.300,-44.250
1.16,1,0.307,0.218,-1.634,1.967,7.770,0.287,-6.000,-29.700,-41.700
1.26,1,0.302,0.270,-1.700,2.109,7.709,0.289,-8.250,-29.250,-42.900
1.38,1,0.266,0.201,-1.736,1.877,7.709,0.256,-5.400,-30.300,-42.750
1.48,1,0.294,0.193,-1.776,2.070,7.715,0.342,-6.000,-26.550,-42.900
1.58,1,0.282,0.214,-1.766,1.908,7.758,0.344,-7.350,-28.650,-43.800
1.69,1,0.266,0.498,-1.717,2.133,7.680,0.436,-6.150,-29.550,-41.550
1.79,1,0.144,0.383,-1.789,1.980,7.719,0.338,-6.150,-29.100,-43.050
1.88,1,0.035,0.203,-1.649,1.951,7.754,0.369,-6.000,-30.450,-43.200
1.99,1,-0.136,0.083,-1.690,1.924,7.723,0.375,-6.150,-28.650,-43.050
2.09,1,-0.336,0.037,-1.756,1.949,7.662,0.271,-5.700,-29.100,-42.300
2.21,1,-0.331,0.102,-1.815,2.100,7.654,0.350,-4.950,-27.450,-44.250
2.32,1,-0.264,0.082,-1.865,2.020,7.773,0.387,-7.500,-29.250,-41.400
2.41,1,-0.258,0.118,-1.888,2.105,7.760,0.426,-6.300,-28.500,-42.900
2.53,1,-0.294,0.151,-1.836,2.023,7.709,0.398,-6.150,-28.650,-44.250
2.63,1,-0.307,0.170,-1.811,1.957,7.645,0.375,-7.500,-28.950,-43.650
2.73,1,-0.259,0.165,-1.831,1.975,7.697,0.348,-7.050,-29.250,-44.400
2.83,1,-0.194,0.177,-1.798,1.980,7.686,0.449,-5.700,-29.850,-44.250
2.94,1,-0.209,0.170,-1.840,1.982,7.645,0.398,-6.600,-29.100,-43.500
3.04,1,-0.220,0.303,-1.793,1.984,7.697,0.291,-6.150,-29.550,-43.800
3.15,1,-0.213,0.281,-1.889,2.078,7.771,0.492,-6.300,-29.700,-45.150
3.25,1,-0.568,0.121,-2.321,1.830,7.830,0.791,-7.050,-28.950,-43.950
3.35,1,-1.516,0.222,-3.143,1.857,7.854,0.936,-6.750,-28.050,-44.700
3.46,1,-3.280,0.261,-4.131,1.896,8.021,1.297,-6.900,-27.900,-44.850
3.56,1,-6.182,0.190,-5.438,1.904,7.979,2.223,-7.650,-25.500,-46.800
3.67,1,-10.790,0.639,-6.905,2.074,8.131,2.580,-6.300,-25.350,-48.000
3.78,1,-16.530,1.246,-8.155,2.041,7.971,2.756,-4.500,-22.650,-52.950
3.88,1,-22.498,1.503,-9.070,2.037,7.529,3.062,-6.300,-20.700,-55.500
3.99,1,-28.202,1.235,-9.804,1.887,6.945,3.314,-4.050,-16.800,-61.350
4.09,1,-32.880,0.698,-10.456,1.875,6.387,3.684,-3.450,-15.000,-63.450
4.19,1,-36.592,0.328,-10.257,1.389,6.082,4.623,-4.950,-13.050,-66.000
4.32,1,-39.459,-0.753,-10.968,1.658,5.805,5.063,-4.800,-10.050,-67.350
4.41,1,-42.231,-0.157,-10.361,1.572,5.727,5.846,-4.050,-7.350,-70.350
4.51,1,-45.242,0.240,-9.995,1.555,5.377,5.846,-1.950,-7.200,-69.750
4.63,1,-48.000,0.050,-9.998,1.455,5.053,5.893,-2.550,-3.900,-71.700
4.74,1,-50.421,-0.576,-10.155,1.396,4.643,6.117,-1.950,-0.900,-72.750
4.81,1,-52.226,-1.148,-10.506,1.617,4.371,6.127,-1.800,0.750,-73.200
4.91,1,-53.478,-1.543,-10.598,1.496,4.184,6.258,-3.300,1.500,-73.200
5.04,1,-53.993,-2.282,-10.989,1.496,4.127,6.387,-2.400,3.600,-72.750
5.13,1,-54.037,-2.131,-10.972,1.523,4.154,6.633,-2.400,2.850,-73.050
5.23,1,-54.205,-1.579,-10.851,1.424,4.254,7.172,-1.800,3.450,-73.200
5.33,1,-54.735,-1.555,-11.050,1.271,4.232,6.990,-2.400,2.850,-74.100
5.45,1,-55.564,-1.887,-11.377,1.377,4.107,6.813,-2.250,1.950,-73.950
5.55,1,-56.226,-2.376,-11.629,1.434,3.947,6.604,-1.800,4.650,-73.200
5.65,1,-56.597,-2.676,-11.600,1.551,3.920,6.732,-1.650,4.500,-75.300
5.76,1,-56.721,-2.839,-11.175,1.443,3.850,6.896,-1.650,4.050,-73.800
5.86,1,-56.726,-2.978,-10.935,1.461,3.928,6.920,-0.300,4.950,-74.400
5.96,1,-56.737,-3.191,-10.724,1.594,3.826,7.117,-3.000,3.450,-74.400
6.06,1,-56.819,-3.249,-10.206,1.479,3.918,7.029,-2.700,5.550,-75.600
6.16,1,-56.936,-3.264,-9.717,1.395,3.902,6.951,-1.950,4.050,-74.850
6.28,1,-57.106,-3.374,-9.339,1.432,3.865,6.898,-1.500,4.950,-74.700
6.38,1,-57.183,-3.423,-8.997,1.420,3.834,6.863,-3.150,5.250,-73.500
6.48,1,-57.249,-3.481,-8.704,1.506,3.814,7.076,-2.250,5.400,-74.400
6.59,1,-57.297,-3.495,-8.380,1.477,3.844,6.910,-2.700,6.450,-74.850
6.69,1,-57.383,-3.556,-8.043,1.537,3.914,7.053,-2.250,5.850,-74.400
6.79,1,-57.409,-3.617,-7.660,1.492,3.783,6.961,-2.400,4.800,-74.850
6.91,1,-57.403,-3.661,-7.275,1.498,3.744,6.994,-1.950,5.250,-75.600
7.01,1,-57.412,-3.735,-6.902,1.342,3.865,7.143,-2.400,4.050,-74.550
7.13,1,-57.538,-3.824,-6.605,1.463,3.777,7.035,-1.200,7.200,-73.800
7.23,1,-57.576,-4.133,-6.346,1.512,3.703,6.869,-1.050,6.900,-76.200
7.33,1,-57.475,-4.302,-6.087,1.490,3.699,6.904,-4.200,5.550,-75.300
7.43,1,-57.247,-4.343,-5.809,1.455,3.824,7.006,-2.550,5.850,-75.450
7.53,1,-57.060,-4.395,-5.439,1.498,3.793,6.986,-3.000,6.150,-74.700
7.65,1,-56.915,-4.214,-5.086,1.514,3.918,6.982,-1.500,5.400,-74.400
7.75,1,-56.736,-4.247,-4.979,1.541,3.818,6.900,-1.650,5.250,-74.850
7.85,1,-56.499,-4.231,-5.062,1.670,3.924,7.051,-0.750,4.650,-74.400
7.95,1,-56.566,-4.439,-4.687,1.484,3.920,7.102,-0.750,4.650,-75.150
8.05,1,-56.808,-4.602,-4.267,1.543,3.877,6.852,-1.500,5.850,-75.450
8.16,1,-56.921,-4.602,-3.960,1.457,3.939,6.787,-2.400,5.250,-75.300
8.26,1,-56.918,-4.697,-3.673,1.449,3.834,6.932,-2.550,6.150,-73.200
8.38,1,-56.824,-4.776,-3.513,1.480,3.891,6.910,-2.250,5.850,-73.950
8.48,1,-56.757,-4.880,-3.300,1.520,3.902,6.953,-1.800,4.200,-73.950
8.58,1,-56.748,-5.262,-3.115,1.541,3.875,6.838,-2.400,4.050,-73.800
8.68,1,-56.705,-5.219,-2.883,1.529,3.822,7.082,-2.400,5.250,-73.800
8.80,1,-56.711,-5.185,-2.805,1.480,3.855,6.988,-2.700,5.550,-74.850
8.90,1,-56.779,-5.200,-2.585,1.539,3.836,6.877,-2.400,5.250,-73.050
9.00,1,-56.827,-5.275,-2.383,1.492,3.846,6.977,-1.200,5.250,-74.550
9.10,1,-56.877,-5.442,-2.144,1.592,3.867,6.949,-2.400,2.850,-73.800
9.21,1,-56.981,-5.510,-1.844,1.527,3.904,6.859,-1.650,4.800,-73.050
9.32,1,-57.018,-5.735,-1.673,1.611,3.756,6.893,-3.300,5.400,-73.950
9.41,1,-57.000,-5.891,-1.444,1.514,3.787,6.885,-1.500,5.400,-75.450
9.53,1,-56.883,-5.847,-1.248,1.545,3.838,6.953,-1.800,5.850,-75.150
9.63,1,-56.736,-5.908,-0.873,1.465,3.846,7.010,-1.650,6.000,-74.550
9.73,1,-56.624,-6.016,-0.772,1.594,3.943,6.947,-3.150,5.250,-73.800
9.84,1,-56.568,-6.105,-0.748,1.600,3.775,6.959,-2.700,6.450,-72.300
9.94,1,-56.447,-6.214,-0.745,1.635,3.891,6.883,-2.550,4.650,-73.650
10.04,1,-56.309,-6.378,-0.538,1.715,3.900,6.869,-2.550,3.900,-74.400
10.16,1,-56.203,-6.436,-0.249,1.572,3.826,6.850,-3.450,5.550,-73.050
10.26,1,-55.900,-6.633,-0.116,1.555,3.799,6.494,-3.000,4.950,-73.200
10.37,1,-54.965,-6.994,-0.063,1.570,3.832,6.117,-5.250,4.950,-73.650
10.47,1,-53.071,-7.232,-0.124,1.695,4.100,5.910,-3.450,3.600,-72.750
10.57,1,-50.100,-7.010,0.065,1.684,4.408,5.561,-4.200,1.350,-72.750
10.69,1,-46.161,-6.755,-0.044,1.855,5.125,5.973,-4.950,-2.100,-71.550
10.78,1,-42.020,-6.727,-0.043,1.904,5.588,5.313,-5.250,-4.200,-69.600
10.88,1,-37.253,-6.390,-0.646,1.881,6.023,5.145,-6.000,-8.100,-66.900
11.00,1,-32.414,-5.078,-1.019,2.176,6.393,5.023,-4.950,-11.100,-64.500
11.10,1,-27.897,-3.873,-1.140,2.104,6.859,4.518,-6.150,-15.000,-63.000
11.19,1,-23.917,-2.822,-0.416,1.664,7.459,4.375,-5.550,-17.100,-60.600
11.32,1,-21.003,-2.348,0.121,1.480,7.299,3.498,-3.750,-20.700,-58.800
11.41,1,-18.304,-2.740,-0.818,1.590,7.375,2.957,-6.900,-20.400,-57.450
11.50,1,-15.846,-2.745,-1.681,1.992,7.396,2.662,-4.650,-22.500,-53.850
11.64,1,-13.469,-2.725,-2.563,2.256,7.506,2.580,-6.900,-21.600,-52.350
11.72,1,-11.362,-2.999,-3.402,1.805,7.549,1.236,-6.300,-25.050,-51.750
11.81,1,-8.544,-3.871,-5.324,2.105,7.529,1.572,-9.150,-25.950,-49.050
11.91,1,-5.997,-3.734,-4.692,2.119,8.174,1.426,-9.300,-25.800,-45.450
12.04,1,-4.170,-3.264,-3.173,1.957,7.738,1.561,-7.650,-27.150,-44.550
12.14,1,-3.091,-2.641,-2.266,1.961,7.953,1.320,-8.250,-27.000,-44.400
12.24,1,-2.782,-2.748,-1.975,1.980,7.715,0.963,-8.400,-27.150,-44.250
12.34,1,-2.602,-2.938,-2.036,2.016,7.639,0.607,-7.500,-28.950,-43.950
12.45,1,-2.315,-3.270,-1.950,2.086,7.658,0.602,-8.550,-27.750,-43.650
12.55,1,-2.094,-3.275,-1.833,2.092,7.729,0.715,-8.250,-27.300,-43.200
12.65,1,-2.040,-3.086,-1.648,2.072,7.721,0.730,-6.900,-27.150,-43.800
12.75,1,-2.053,-3.101,-1.433,1.980,7.682,0.682,-7.650,-27.900,-44.250
12.87,1,-2.129,-3.062,-1.396,1.996,7.625,0.590,-8.250,-27.750,-43.650
12.97,1,-2.149,-2.963,-1.328,1.965,7.701,0.586,-8.400,-25.950,-44.550
13.07,1,-2.136,-2.903,-1.464,1.965,7.734,0.658,-7.050,-28.950,-42.150
13.17,1,-2.146,-2.796,-1.630,2.062,7.705,0.670,-7.350,-25.950,-42.750
13.28,1,-2.178,-2.692,-1.834,2.105,7.732,0.627,-7.500,-29.250,-42.450
13.38,1,-2.249,-2.612,-1.951,2.035,7.670,0.764,-7.500,-28.050,-43.650
13.50,1,-2.345,-2.696,-2.014,1.998,7.688,0.682,-8.550,-27.750,-44.400
13.58,1,-2.382,-2.682,-2.177,2.037,7.695,0.646,-6.150,-29.100,-44.250
13.71,1,-2.363,-2.513,-2.288,1.961,7.684,0.721,-7.650,-27.450,-43.050
13.82,1,-2.298,-2.294,-2.850,2.275,7.564,0.729,-9.300,-27.000,-43.950
13.92,1,-2.403,-2.476,-2.754,2.045,7.627,0.619,-7.050,-28.500,-43.650
14.02,1,-2.443,-2.469,-2.595,2.053,7.881,0.705,-8.400,-28.350,-43.500
