time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.09,0,-0.190,0.315,-0.527,-2.119,-7.813,0.822,15.900,33.450,-36.600
0.21,0,-0.123,0.325,-0.568,-2.111,-7.826,0.820,16.050,32.400,-34.950
0.31,0,-0.059,0.347,-0.582,-2.080,-7.777,0.854,15.450,32.250,-35.100
0.41,0,-0.015,0.406,-0.627,-2.045,-7.959,0.760,13.050,33.150,-34.500
0.51,0,0.001,0.482,-0.595,-2.008,-7.814,0.811,13.950,32.250,-33.600
0.61,0,-0.029,0.489,-0.670,-2.051,-7.822,0.885,15.300,32.400,-35.250
0.72,0,-0.065,0.491,-0.592,-2.045,-7.834,0.875,15.150,34.200,-35.850
0.82,0,-0.076,0.516,-0.485,-2.002,-7.883,0.891,15.750,32.400,-34.200
0.94,0,-0.094,0.546,-0.471,-1.996,-7.889,0.807,14.700,33.450,-35.400
1.04,0,-0.162,0.588,-0.438,-2.000,-7.834,0.848,14.250,31.200,-36.000
1.14,0,-0.353,0.628,-0.506,-2.074,-7.920,0.867,13.500,31.950,-36.750
1.24,0,-0.706,0.643,-0.549,-2.025,-7.855,0.852,13.800,32.400,-36.750
1.36,0,-1.180,0.666,-0.586,-2.035,-7.842,0.945,15.450,32.250,-36.900
1.46,0,-1.667,0.756,-0.478,-2.062,-7.854,1.021,14.700,32.250,-34.350
1.57,0,-2.408,0.962,-0.041,-2.062,-7.965,1.127,15.150,33.000,-36.900
1.67,0,-3.619,1.224,0.292,-1.971,-8.086,1.326,15.150,33.750,-37.950
1.78,0,-5.521,1.589,0.362,-2.115,-8.246,1.549,13.950,32.550,-40.200
1.87,0,-8.302,2.292,0.491,-1.986,-7.672,1.920,13.800,32.850,-41.550
1.99,0,-11.506,2.859,0.693,-1.871,-7.480,2.268,13.650,30.600,-44.250
2.09,0,-14.660,3.324,0.782,-1.818,-7.414,2.914,13.500,29.250,-47.700
2.19,0,-17.908,3.699,0.833,-2.154,-7.486,3.156,14.700,27.150,-50.550
2.29,0,-21.088,4.289,1.143,-1.766,-6.762,3.705,12.300,26.550,-51.750
2.41,0,-24.260,4.608,1.082,-1.777,-6.584,3.977,12.000,23.550,-54.450
2.51,0,-27.335,5.034,0.984,-1.883,-6.473,4.531,12.300,20.850,-56.250
2.63,0,-30.381,5.470,1.095,-1.623,-6.520,4.734,10.950,21.450,-58.200
2.73,0,-34.237,5.798,0.745,-1.693,-5.934,5.125,11.400,18.300,-61.500
2.83,0,-37.841,5.982,0.535,-1.434,-5.514,5.422,10.650,14.850,-63.450
2.93,0,-41.142,6.148,0.211,-1.443,-5.082,5.762,10.200,13.200,-64.200
3.04,0,-44.110,6.312,-0.103,-1.059,-4.863,6.180,9.300,12.300,-66.600
3.14,0,-47.093,6.114,-0.982,-1.332,-4.600,6.443,9.000,9.150,-66.900
3.26,0,-50.072,5.658,-1.679,-1.424,-4.250,6.596,8.250,6.150,-67.650
3.36,0,-52.952,5.147,-2.132,-1.145,-3.922,6.814,8.550,3.750,-69.150
3.46,0,-55.490,4.547,-2.583,-1.199,-3.576,6.988,10.050,1.800,-70.200
3.56,0,-57.504,4.110,-2.961,-1.207,-3.330,7.006,9.450,0.900,-70.050
3.67,0,-59.251,3.614,-3.263,-1.291,-3.180,7.439,10.500,-0.750,-70.650
3.78,0,-60.953,2.626,-3.734,-1.785,-2.879,7.512,11.700,-5.100,-70.350
3.89,0,-62.902,2.227,-4.005,-1.535,-2.707,7.383,10.500,-6.150,-69.900
3.99,0,-64.906,1.341,-4.410,-1.893,-2.191,7.580,10.050,-6.150,-69.900
4.09,0,-66.224,0.926,-4.188,-1.553,-1.846,7.236,10.050,-8.100,-70.650
4.19,0,-66.655,0.882,-3.869,-1.580,-1.990,7.621,12.150,-9.000,-69.300
4.31,0,-66.573,0.924,-3.763,-1.541,-2.197,7.637,10.950,-10.200,-68.250
4.41,0,-66.917,1.172,-3.877,-1.613,-2.158,7.807,11.550,-8.400,-71.250
4.51,0,-67.390,0.920,-4.190,-1.629,-1.875,7.545,10.050,-11.100,-69.900
4.63,0,-67.708,0.932,-4.461,-1.318,-1.928,7.693,10.050,-10.050,-69.150
4.73,0,-67.932,0.807,-4.399,-1.715,-1.844,7.572,11.550,-10.050,-69.900
4.83,0,-67.955,0.482,-4.190,-1.697,-1.922,7.648,11.550,-9.600,-69.450
4.94,0,-67.840,0.446,-4.219,-1.828,-1.834,7.541,9.900,-10.500,-70.050
5.04,0,-67.659,0.493,-4.518,-1.760,-1.930,7.604,12.750,-8.100,-69.900
5.16,0,-67.680,0.410,-4.689,-1.809,-1.984,7.584,11.400,-10.950,-68.850
